품종,크기(체중에따른),크기(라벨링),나이,산책시간(시간),체중,적정음수량,성별,중성화여부,색상
닥스훈트,소,0,4,1,6.8,442,F,U,검/갈
닥스훈트,소,0,3,1,4,260,F,U,검정
닥스훈트,소,0,3,1,4.4,286,F,U,진갈/검
닥스훈트,소,0,3,1,4.4,286,M,N,갈/검
닥스훈트,소,0,3,1,4.5,292.5,M,Y,갈색
닥스훈트,소,0,3,1,4.5,292.5,M,Y,"흑색, 갈색"
닥스훈트,소,0,3,1,5.6,364,M,N,"검정, 갈색, 황색"
닥스훈트,소,0,3,1,7,455,M,Y,검정
닥스훈트,소,0,3,1,7.9,513.5,M,N,갈/검/흰
닥스훈트,소,0,3,1,9,585,M,Y,갈백
닥스훈트,소,0,2,1,4,260,F,U,"검정, 황색"
닥스훈트,소,0,2,1,5,325,M,N,흑갈
닥스훈트,소,0,2,1,5,325,M,Y,흑갈백
닥스훈트,소,0,2,1,5,325,M,U,검정 갈색
닥스훈트,소,0,2,1,6,390,F,U,흑갈회
닥스훈트,소,0,2,1,9.3,604.5,M,N,갈/검
닥스훈트,소,0,1,1,3.5,227.5,F,U,흑갈백
닥스훈트,소,0,1,1,4.5,292.5,F,N,"검정,갈색,황색"
닥스훈트,소,0,1,1,5,325,F,U,갈/검
닥스훈트,소,0,1,1,6.2,403,F,U,블랙
닥스훈트,소,0,1,1,6.6,429,F,U,갈/흰
닥스훈트,소,0,0,0.8,2.8,182,M,N,갈/검
닥스훈트,소,0,0,0.8,2.8,182,F,U,갈
닥스훈트,소,0,0,0.8,5.3,344.5,F,U,검정
닥스훈트,소,0,0,0.8,6.5,422.5,M,N,검/갈/회
달마시안,대,2,3,1,23,1495,M,Y,흰색/검정
달마시안,대,2,3,1,25,1625,M,Y,"흰색, 검정색"
도베르만,대,2,4,1,20,1300,M,N,검갈색
도베르만,대,2,3,1,28,1820,M,Y,검/갈
도베르만,대,2,3,1,30,1950,M,N,검정
도베르만,중,1,3,1,15,975,F,N,검갈
도베르만,대,2,2,1,20,1300,F,U,검정
도베르만,대,2,2,1,22,1430,M,U,검정
도베르만,대,2,1,1,20,1300,F,U,갈/검
도베르만,중,1,1,1,13,845,M,N,검/갈
도베르만,중,1,0,0.8,10,650,F,U,흑갈
도사,대,2,7,1,30,1950,F,N,황색
도사,대,2,3,1,60,3900,F,N,갈색
도사,대,2,2,1,20,1300,F,N,황색
도사,대,2,2,1,24,1560,F,U,갈색
도사,대,2,2,1,25,1625,F,U,흑갈
도사,대,2,2,1,25,1625,F,U,흑갈백
도사,대,2,2,1,30,1950,F,U,갈흑
도사,대,2,1,1,20,1300,M,N,황색
도사,대,2,1,1,27,1755,F,N,황색
도사,대,2,1,1,27,1755,M,N,황색
도사,대,2,1,1,27,1755,M,N,황색
도사,중,1,1,1,15,975,M,N,황색
도사,중,1,1,1,17,1105,M,N,황색
도사,중,1,1,1,19,1235,M,N,황색
동경견,소,0,1,1,7,455,M,N,흑갈색
라브라도리트리버,대,2,8,0.5,25,1625,Q,U,흰색
라브라도리트리버,대,2,7,1.5,30,1950,F,N,연갈색
라브라도리트리버,대,2,7,1.5,30,1950,M,U,베이지
라브라도리트리버,대,2,6,1.5,27,1755,F,N,검정색
라브라도리트리버,대,2,6,1.5,35,2275,F,N,크림
라브라도리트리버,대,2,5,1.5,20,1300,M,Y,황색
