크기(라벨링),나이,산책시간(시간),체중,성별
0,18,0.5,1.5,M
0,17,0.5,1.4,F
0,17,0.5,4.3,M
0,15,0.5,2,F
0,15,0.5,2.6,F
0,15,0.5,3,F
0,15,0.5,4.1,M
0,14,0.5,3,F
0,14,0.5,3.5,M
0,13,0.5,2.3,F
0,13,0.5,2.5,M
0,13,0.5,2.6,F
0,13,0.5,3,M
0,13,0.5,3.6,M
0,12,0.5,1.5,F
0,12,0.5,2,F
0,12,0.5,2,M
0,12,0.5,2.1,F
0,12,0.5,2.4,F
0,12,0.5,2.5,M
0,12,0.5,2.6,F
0,12,0.5,2.7,M
0,12,0.5,3,M
0,12,0.5,3.1,M
0,12,0.5,3.6,M
0,12,0.5,3.6,M
0,12,0.5,3.8,M
0,12,0.5,5,F
0,11,0.5,2.9,F
0,10,0.5,1.8,F
0,10,0.5,1.94,F
0,10,0.5,2,F
0,10,0.5,2,F
0,10,0.5,2.4,F
0,10,0.5,2.5,M
0,10,0.5,2.5,M
0,10,0.5,2.7,M
0,10,0.5,3,Q
0,10,0.5,3,M
0,10,0.5,3,F
0,10,0.5,3,M
0,10,0.5,3.2,M
0,10,0.5,3.5,F
0,10,0.5,3.5,M
0,10,0.5,3.7,F
0,10,0.5,3.7,F
0,10,0.5,3.8,F
0,10,0.5,4,M
0,10,0.5,4,M
0,10,0.5,4.4,M
0,10,0.5,5,M
0,10,0.5,5,M
0,10,0.5,5,M
0,10,0.5,9,M
0,9,0.5,2.4,F
0,9,0.5,3,F
0,9,0.5,3,F
0,9,0.5,3,M
0,9,0.5,3.1,F
0,9,0.5,3.2,F
0,9,0.5,3.3,M
0,9,0.5,3.6,M
0,9,0.5,3.6,M
0,9,0.5,3.8,M
0,9,0.5,4.6,M
0,9,0.5,5,M
0,9,0.5,5,M
0,9,0.5,5.5,M
0,9,0.5,6.5,M
0,8,0.5,1.5,F
0,8,0.5,1.8,M
0,8,0.5,2.5,M
0,8,0.5,2.5,M
0,8,0.5,2.5,F
0,8,0.5,3,M
0,8,0.5,3.2,F
0,8,0.5,3.3,M
0,8,0.5,3.4,F
0,8,0.5,3.5,M
0,8,0.5,3.8,M
0,8,0.5,3.9,F
0,8,0.5,4,F
