업체명,업체구분,도시,위도,경도
양양캠핑장 어성전계곡야영장,숙박지,양양군,37.94716181,128.6634
하조대전망대,관광지,양양군,38.02181654,128.7284
하조대해수욕장,관광지,양양군,38.02295226,128.7251
하조대아름들펜션,숙박지,양양군,38.00799846,128.6917
신원비엔빌,숙박지,양양군,38.05352114,128.6828
아름다운바다콘도텔,숙박지,양양군,38.15569302,128.6089
숲속의집,숙박지,양양군,37.93192757,128.6748
명파해변,관광지,고성군,38.54353862,128.4054
아야진 해변,관광지,고성군,38.27651142,128.5528
화진포의 성 김일성 별장,관광지,고성군,38.47250515,128.4431
DMZ박물관,관광지,고성군,38.57624688,128.3825
통일전망대,관광지,고성군,38.51438609,128.4167
영원산성,관광지,원주시,37.30548316,128.0309
행구수변공원,관광지,원주시,37.34238325,127.9967
간현관광지,관광지,원주시,37.36457641,127.834
솔치송어파티펜션,숙박지,원주시,37.26869471,128.1999
탑스텐 리조트 동강시스타,숙박지,영월군,37.21776152,128.5187
강아지숲 테마파크,관광지,춘천시,37.73643502,127.662
SL호텔 강릉,숙박지,강릉시,37.88915566,128.8254
힐링캠프 애견동반 펜션,숙박지,삼척시,37.28871618,129.3027
로뎀나무 펜션,숙박지,강릉시,37.81182006,128.898
정원가든 애견동반펜션,숙박지,삼척시,37.28057338,129.2965
꽃내음펜션,숙박지,삼척시,37.28355509,129.2976
그린향펜션,숙박지,삼척시,37.28548241,129.2996
설악의정원,숙박지,고성군,38.21458163,128.5174
파인힐 애견펜션,숙박지,강릉시,37.86920213,128.8316
서피비치,관광지,양양군,38.02775348,128.7175
옥산가(옥광산),관광지,춘천시,37.92005546,127.8053
민둥산,관광지,정선군,37.25025999,128.7817
아우라지,관광지,정선군,37.47712868,128.7221
휘닉스평창리조트,숙박지,평창군,37.58246341,128.3269
물무리골생태습지,관광지,영월군,37.19724469,128.4502
선돌,관광지,영월군,37.20557108,128.4341
한반도지형,관광지,영월군,37.22256105,128.3469
인제빙어축제,관광지,인제군,37.99774745,128.0985
소노펫클럽앤리조트,숙박지,홍천군,37.65233706,127.6873
하늘길,관광지,정선군,37.17423577,128.8426
하이원리조트,숙박지,정선군,37.20721956,128.8368
힐리언스 선마을,숙박지,홍천군,37.65154223,127.6303
바다와펜션,숙박지,강릉시,37.84538858,128.8693
월드스카이호텔,숙박지,속초시,38.20113028,128.5865
해마루 펜션,숙박지,삼척시,37.28502643,129.3127
드라마 도깨비 촬영지,관광지,강릉시,37.87955118,128.8336
명파해변 오토캠핑장,숙박지,고성군,38.54342995,128.4054
반계리 은행나무,관광지,원주시,37.29420807,127.7884
사근진해중공원 전망대,관광지,강릉시,37.81272232,128.8989
속초 관광수산시장,관광지,속초시,38.2039889,128.5906
아라리공원,관광지,정선군,37.3791473,128.6667
아름들 반려견쉼터,관광지,원주시,37.29566456,127.9251
파로호 하트섬,관광지,화천군,38.064636,127.7952
